Text,Type
"there is a risk that children may be exposed to unhealthy contents, such as violence or pornography, arranged in the games by such companies to secure financial survival",Argumentative
"In short , abortion can turn out to be a lifetime worth of burden .",Argumentative
"In my opinion, I believe that",Non-Argumentative
But people should be careful with what they eat,Argumentative
Should parents limit their children watching TV to make them do well in school?,Non-Argumentative
"In his concurring opinion in Marsh , Justice Scalia also wrote that an exoneration "" demonstrates not the failure of the system but its success . """,Argumentative
"Parents are our teachers from the very early time in our life

Learning is a thing that we do in all of our lives.",Non-Argumentative
Another irony is that most anti-abortion legislators vote against funding the health and social welfare programs that make it possible for women to take care of their babies rather than abort for financial reasons .,Argumentative
"However,",Non-Argumentative
The choice over when and whether to have children is central to a woman 's independence and ability to determine her future .,Argumentative
"Thirdly,",Non-Argumentative
"By observing planet earth from outer space, people can find out ample things for example about the atmosphere of the planet earth",Argumentative
Can you name them and provide a link for the evidence ?,Non-Argumentative
"If you have court documents of other judicial opinions , that would be helpful .",Non-Argumentative
"Proponents , identifying themselves as pro-choice , contend that choosing abortion is a woman 's right that should not be limited by governmental or religious authority , and which outweighs any right claimed for an embryo or fetus .",Argumentative
He was not the only man in the world who knew that he did not know .,Non-Argumentative
The endless game against nature would be mostly over .,Non-Argumentative
And above all pleasure hunting of defenseless animals,Argumentative
"It will not be surprising that in order to obtain a mobile phone, they make themselves jobless",Argumentative
because,Non-Argumentative
"Majority opinion in some democratic countries , including the U.K. , is still in favour of the death penalty .",Argumentative
"Not only with the help of sending email, but also using credit cards to pay all necessary fees online",Argumentative
jobs can divert students from their studies,Argumentative
"Texas officials , including Perry , have since fought any additional tests .",Non-Argumentative
because,Non-Argumentative
"Firstly,",Non-Argumentative
These boundaries are set by either God ( and therefore cloning is wrong because it is “ playing God ” ) or nature ( and therefore cloning is wrong because it is “ unnatural ” ) .,Argumentative
"Importantly,",Non-Argumentative
A positive right requires more from obligation-bearers ; it requires that active steps be taken in order to provide the right-bearers with the means to fulfill that right .,Non-Argumentative
"And some of those things will be genuinely , horribly regretful .",Non-Argumentative
"they are doing what they love, their income however seems to be quite low compared to many other career paths",Argumentative
"experiencing the real life by myself, I could learn more than just obey the advice",Argumentative
"( 30 ) Moreover , past experience suggests that the execution level will not go very high .",Non-Argumentative
"In the midst of this , Katha Pollitt , an old friend of this magazine ( and of this writer ) has written a bracing , unapologetic polemic in favor of abortion rights .",Non-Argumentative
"In my hometown, there are almost complete public utilities for one’s needs but transportation.",Non-Argumentative
teachers have a conspicuous role in assisting students for learning materials that being present at classes is a requisite for benefiting it,Argumentative
both studying hard at school and playing sports can improve children's future,Argumentative
"Through genetic screens we are seeking to identify other functions that act upstream , downstream or in concert with dpp to mediate its signaling role .",Non-Argumentative
"nowadays, the exploitation activities of these resources are increasing dramatically to adapt to the infinite need of people",Argumentative
television and newspapers focus on famous peoples' lives in order to increase their audience or readership,Argumentative
"But here 's the rub : We can pretend sex differences do not exist , but it is women who bear the burden when we do so .",Argumentative
Response 2 : Knowing God ’s will .,Non-Argumentative
"Buck believed that his former girlfriend , Debra Gardner , was in a romantic relationship with another man , Kenneth Butler .",Non-Argumentative
"In basic terms , human cloning is the technology that involves producing a genetically identical copy of a human being .",Non-Argumentative
Geduldig was decided at the dawn of the Court ’s sex discrimination case law and at the dawn of the Court ’s modern substantive due process jurispru­dence .,Non-Argumentative
"In relation to free will , some criminals are suffering from mental illness or are having clouded judgment at the time of the crime .",Argumentative
"But on other hand,",Non-Argumentative
"students only need to study academic subjects like mathematics, physics",Argumentative
"Many people keep pets like dogs and cats, trained them as service dogs and snuffing dogs which are very helpful to police force and even to some blind peoples",Argumentative
"with the rapid change of the standard of life, each family has three or four TV in each room is more common",Argumentative
Those who choose abortions are often minors or young women with insufficient life experience to understand fully what they are doing .,Argumentative
When carrying out a full backup of the system hard drive the entire operating system as well as all installed programs and settings are also saved .,Non-Argumentative
young adults should live with their parents for a longer period of time,Argumentative
"No one claims that identical multiples ’ right to a unique genetic identity was compromised simply in virtue of their creation , which calls into question whether such a right exists in the first place ( Silver , 1998 ; Tooley , 1998 ; Rhodes , 1995 ) .",Non-Argumentative
No one has ever seriously argued that everything immoral should be illegal .,Argumentative
"Note : Questions varied among pollsters , and from year to year in Pew and CBS/NYT surveys .",Non-Argumentative
making quick decisions leads to probable bad results,Argumentative
"there are good ways for sports activities to compensate their expenses, but it is very hard for libraries to find a good way for have an income",Argumentative
"However , there is much evidence to counter this claim .",Non-Argumentative
the combination of tourism and teaching process is highly recommended in pursuit of a harmonial relationship between human and their surroundings,Argumentative
"One day in a cold winter while I was getting back to home from school I realized that I lost my keys, so I could not do anything before my parents getting back home",Argumentative
"while on duty, not only are private citizens affected but facilities such as cars, houses, streets are likely to be destroyed by guns",Argumentative
"this approach is a basis tool used in several fields such as taking notes, doing homework and writing",Argumentative
the mobile phone has become a dispensable multifunctional tools in people's daily life,Argumentative
"The US had a 2012 murder rate of 4.8 victims per 100,000 — meaning that nearly 15,000 people were victims of homicide that year .",Non-Argumentative
"In 2010 , five years after Hobbs ' arrest , DNA from the crime scene hit a match in a national database .",Non-Argumentative
"without the cooperation, there would be no victory of competition",Argumentative
"Because all children deserve to have a life and a future that is completely open to them in terms of its prospects ( Feinberg , 1980 ) , and because being the product of cloning would necessarily deprive the resulting child of these prospects , cloning is seriously immoral .",Argumentative
"i think if we are smart enough to be able to clone , we are smart enough to figure out a natural , less risky way to solve it .",Argumentative
Had no idea there was so much risks .,Argumentative
""" Reason "" number 4 is full of outright lies which are obvious to anyone who does even a little research .",Non-Argumentative
people cannot pass the day without stay in front of computer or using it,Argumentative
The Supreme Court has gotten it wrong before .,Non-Argumentative
"If I want to unplug eight months into the procedure , I still have the right to unplug .",Argumentative
"Challenges are different from generation to generation

While debating about generation issues, people always have different opinions.",Non-Argumentative
I think,Non-Argumentative
it would be a better implication by the government to promote other sources of energy,Argumentative
I am not sure I have heard about any of those pre 1972 cases .,Non-Argumentative
Those who don't even take a word of criticism will eventually lose chances to get improved,Argumentative
the more cars we use means that the faster gasoline in this world is used up,Argumentative
"Schools do not tell you what to study , but they provide a foundational base of learning to equip you with the tools in your desired profession .",Non-Argumentative
Comparable polls by other organizations had registered a 68 % support among Catholics in 2001 .,Non-Argumentative
"Chief Justice John G. Roberts , Jr. , and Justices Samuel A. Alito , Jr. , and Clarence Thomas ( along with Scalia ) dissented from the temporary order against enforcing much of the Texas law .",Non-Argumentative
there are many wonderful and beautiful Arts due to the freedom to express ideas,Argumentative
Capital punishment goes against almost every religion .,Argumentative
"Opposition to cloning is n't just Luddism -- it 's racism . """,Argumentative
"239 elementary and middle schools , 589 high schools , and 439 colleges and universities use the free nonpartisan research we provide to stimulate critical thinking .",Non-Argumentative
"Still , the court decision defined viability as between 24 and 28 weeks ’ gestation .",Non-Argumentative
"Americans More Skeptical of Any Deterrent Effect of the Death Penalty A recent Harris Poll found that only 41 % of Americans believe that the death penalty deters crime , marking the smallest number of such respondents in 27 years of this poll .",Argumentative
It changed all of our lives . ”,Non-Argumentative
because,Non-Argumentative
"At the beginning of the semester, I was told to buy a text book",Argumentative
"ï ¿ ½ But even if it were real life imprisonment , itï ¿ ½ s deterrent effect will never be as great as that of the death penalty .",Argumentative
CCTV cameras should be installed in every premise to combat the ever increasing theft rate and to protect the workers at the workplace,Argumentative
"I think they are wrong, since",Non-Argumentative
technological progress causes corresponding problems,Argumentative
The morning starts with an arcane and technical debate that eats up most of Stephanie Toti ’s time .,Non-Argumentative
Support has been lessened because of the many DNA exonerations that have occurred .,Argumentative
"Proposals for commercially practicable inheritable genetic modification ( "" designer babies "" ) call for the use of cloning techniques to create embryos using stem cell nuclei that have been previously genetically modified .",Non-Argumentative
There are five basic arguments to ban it .,Non-Argumentative
"For example,",Non-Argumentative
"For example,",Non-Argumentative
"Cloning will not only allow , but actually encourage , the commodification of people .",Argumentative
So,Non-Argumentative
"Malnutrition , starvation , poverty , lack of medical and educational services , pollution , underdevelopment , and conflict over resources are all consequences of overpopulation .",Non-Argumentative
Pro-life advocates contend that elective abortion unjustly takes the life of a defenseless human being .,Argumentative
When you work for yourself you can punch in and punch out whenever you want,Argumentative
Take the example of use of food processors in kitchens,Argumentative
Or do you believe that all human beings have rights because some human beings say so — because some human wills have declared that all human beings have rights ?,Non-Argumentative
"students can have an opportunity to take part in many kind of extracurricular activities happing around the campus such as attending conversation club, or joining sports club",Argumentative
"And neither piece brought up the fact that there actually is a treatment for pulmonary hypertension in pregnancy that has , so far , a 100 % success rate -- yet there is no evidence that this treatment was attempted or offered as an alternative .",Non-Argumentative
"Unemployed workers or school dropouts can easily commit crime from petty offence to felony such as burglary, pickpocketing, trickery, vandalism, smuggling or even murder",Argumentative
It is true while,Non-Argumentative
"Additionally , there are several states which give the * rapist * who parented a child rights to the child , meaning that if a victim of rape wants to give up her child she must first gain the consent of her rapist .",Argumentative
"I think it can be reasonably argued based on Catholic principles that in such cases , the abortion is always "" indirect , "" since the intention is never to kill the unborn child but to save the life of the mother .",Argumentative
"However,",Non-Argumentative
It is an innovation that can change the world in a positive way .,Argumentative
Such criminals deserve more severe punishment .,Argumentative
"Otherwise the market may be monopolistic, and the price as well as the choice will not be so selective",Argumentative
